source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Oligodendrocyte,Pericyte,CXCL1,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL10,CCR3,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL10,SDC4,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL2,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL8,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL2,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL2,CCR2,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,IL6,MUSK,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL8,CCR5,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL2,CCR5,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL2,CCR3,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL2,XCR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,IL6,F3,1.0,1.0,0.0
Oligodendrocyte,Pericyte,IL6,F3,1.0,1.0,0.0
Oligodendrocyte,Pericyte,IL6,MUSK,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL10,SDC4,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL2,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CSF2,CSF1R,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL10,CCR3,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL10,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL1,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL8,CCR3,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL8,CCR5,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL1,CXCR2,1.0,1.0,0.0
Pericyte,Astrocyte,CXCL2,ACKR1,1.0,1.0,0.0
Pericyte,Endothelial,CSF2,CSF1R,1.0,1.0,0.0
