,ferroptosis_score,senescence_score,mg_activation,consensus_senescence,isp_index,condition
GSM5319987_sham1_1-274-0,0.36902927580893685,0.5174193548387096,2.7088888888888887,-0.07201025486351983,-0.9383029560361908,Sham
GSM5319987_sham1_1-278-0,0.2089478318291878,0.25017369727047145,1.8888888888888888,0.03898356205700497,-1.249101644689143,Sham
GSM5319987_sham1_1-281-0,0.4651111600264142,0.16719602977667494,22.866666666666667,-0.04049163022168602,-1.44415093523345,Sham
GSM5319987_sham1_1-283-0,0.6128659476117103,1.0503722084367246,3.326666666666667,0.027522244005429047,-0.6771415436730345,Sham
GSM5319987_sham1_1-299-0,0.49130530486462687,0.13955334987593054,2.66,-0.049087618760367976,-1.509128479990136,Sham
GSM5319987_sham1_1-305-0,2.0243231344926262,2.2220843672456576,2.5755555555555554,-0.2281707133162419,0.8346005158400778,Sham
GSM5319987_sham1_1-306-0,0.4564164648910412,0.9643672456575683,4.71111111111111,0.23393574297188757,-0.8447068551937869,Sham
GSM5319987_sham1_1-325-0,0.37519260400616333,0.8661042183622829,3.9644444444444447,-0.1346704871060172,-0.9317017197047368,Sham
GSM5319987_sham1_1-338-0,0.7038850979528946,0.4433746898263027,7.331111111111111,-0.1912984466897904,-0.7949587690378347,Sham
GSM5319987_sham1_1-340-0,1.2338762931983271,0.37454094292803963,22.74222222222222,-0.12320916905444126,-0.9567610214211805,Sham
GSM5319987_sham1_1-343-0,0.32533568126788465,1.1733995037220843,3.5444444444444447,-0.051952948273261954,-0.985101006457393,Sham
GSM5319987_sham1_1-355-0,0.31300902487343163,0.4836228287841191,2.7422222222222223,-0.15329512893982808,-0.9983034791203014,Sham
GSM5319987_sham1_1-357-0,0.5432533568126788,1.0657071960297766,5.5777777777777775,-0.03313253012048195,-0.7517001504524055,Sham
GSM5319987_sham1_1-358-0,0.4561413163108078,0.5204466501240695,3.7977777777777777,-0.02510933494193937,-0.8450015532442983,Sham
GSM5319987_sham1_1-359-0,0.5941008144397975,0.3929528535980149,5.204444444444444,-0.07487558437641381,-0.9134815436748058,Sham
GSM5319987_sham1_1-364-0,0.5491415364296721,0.5051116625310174,5.5888888888888895,-0.15902578796561603,-0.7453936121714625,Sham
GSM5319987_sham1_1-369-0,2.1445080343385428,1.1240694789081884,44.455555555555556,0.142570281124498,0.8050986885612776,Sham
GSM5319987_sham1_1-372-0,0.24185560202509354,0.8829776674937965,6.073333333333333,-0.0949328909666717,-1.074512394982536,Sham
GSM5319987_sham1_1-377-0,0.30992736077481836,0.4283870967741935,4.333333333333333,-0.11604584527220631,-1.0016040972860285,Sham
GSM5319987_sham1_1-379-0,0.7274378164208672,0.44526054590570724,16.13111111111111,0.06477152767305082,-0.7905258306163729,Sham
GSM5319987_sham1_1-381-0,0.3314990094651111,0.5681389578163772,3.5355555555555553,-0.10744985673352435,-0.9784997701259388,Sham
GSM5319987_sham1_1-385-0,0.49466211754347345,0.5097270471464019,2.3577777777777778,-0.09136546184738957,-0.8037438261727096,Sham
