dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE97537,CPLX1,80.36980873023614,103.99594644619383,-0.36776812659608976,8.600642732886926e-12,1.0758526368066141e-11
GSE97537,TMEM5,348.1483244076123,381.84064745757905,-0.13290396453648065,8.608642619681473e-12,1.0767395928979437e-11
GSE97537,S100A13,147.10936237572423,100.43318876739991,0.5461330630366482,8.626707833651234e-12,1.0788851653809068e-11
GSE97537,CNOT10,289.52356677871416,204.20400038303416,0.5015963412759421,8.678471546115381e-12,1.0852442874385071e-11
GSE97537,ATG4B,240.73167817117994,356.91693050315513,-0.5662182428945404,8.68963673455844e-12,1.0865257505164358e-11
GSE97537,MARC2,83.36637761156778,104.51233765784279,-0.3226716407063114,8.729154866328565e-12,1.0913517344757315e-11
GSE97537,VASP,157.46497840836489,100.02635145612933,0.6494323814569286,8.798387194352865e-12,1.0998912876724269e-11
GSE97537,FUT9,73.05544762316883,85.35093590042499,-0.22160594815240287,8.903794717154564e-12,1.1129508418223075e-11
GSE97537,ANKRD17,172.02977349682837,242.26259523100526,-0.49149419835832814,9.025127786838083e-12,1.1279980802612386e-11
GSE97537,ADPGK,821.6993539906405,559.5077824431417,0.553630906202696,9.131463410727956e-12,1.1411678970599443e-11
GSE97537,SDHD,822.9592201694664,780.8851127051666,0.07561629768708406,9.162341251967955e-12,1.1449058966288787e-11
GSE97537,SMAD4,617.8135813865465,558.8140076765478,0.14455727412192892,9.450602935388959e-12,1.1807749634689443e-11
GSE97537,SLC1A2,83.44083093537692,102.29191275753155,-0.2907146221571228,9.451385105783849e-12,1.1807749634689443e-11
GSE97537,ELOVL1,173.6294820364004,229.86481665529556,-0.40275118168380847,9.517796826246704e-12,1.1889464312647666e-11
GSE97537,GADD45A,450.9848231115696,192.64625519972577,1.2228507279009804,9.582507582809125e-12,1.1969037161185954e-11
GSE97537,PIAS2,160.24753471113485,127.02930820640763,0.33280299674172675,9.607197393717133e-12,1.1998610308934138e-11
GSE97537,TP53,101.08432833362019,155.29904356701496,-0.6145475449625689,9.785852915883788e-12,1.2220447624655129e-11
