source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff
Astrocyte,Astrocyte,CCL2,CCR5,2.4701219,0.0,1.4054269,0.03222122687309531,-4.766833007040533,0.05906663,0.663033,0.00089260783417162,0.07083703907018477,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9291629609298152
Microglia,Endothelial,PSAP,GPR37L1,3.6325839,0.0,1.3687369,0.10139628295118223,-48.08959031118681,0.017574707,0.6600716,0.0028623398278652653,0.07352177838304308,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9264782216169569
Microglia,Astrocyte,CCL7,CCR5,2.3802338,0.0,1.3509405,0.14522414844841314,-46.89031735691171,0.12416291,0.6586018,0.0015022068563542025,0.07556571117238639,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9244342888276136
Astrocyte,Microglia,PTN,SDC4,1.9292855,0.0,3.5350094,0.26555516935338963,35.62151142856161,0.075433604,0.75731725,5.99572991921963e-05,0.07694275401948027,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9230572459805197
Pericyte,Oligodendrocyte,PTN,SDC4,2.4969163,0.0,1.3007749,0.22288472720172786,-55.618448507239926,0.027757252,0.65433496,0.0018395301683790718,0.07973131544309214,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9202686845569079
Oligodendrocyte,Microglia,PSAP,GPR37L1,4.550872,0.0,1.2222238,0.2528548007759808,-75.03485137925969,0.015693463,0.6472573,0.003288742128197531,0.08472142019827672,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9152785798017233
Microglia,Endothelial,PF4,ACKR1,1.6872997,0.0,2.5674818,0.2172963292224241,108.04133741867015,0.55816656,0.72673744,0.00010486569102027128,0.08472142019827672,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9152785798017233
Astrocyte,Endothelial,CCL7,ACKR1,1.655484,0.0,2.4937568,0.08740977684302806,149.21750367333752,0.21195634,0.7238349,0.0005715712126419754,0.08617278857856922,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9138272114214308
Microglia,Microglia,TNF,VSIR,1.6421916,0.0,2.6966612,0.7893782195374837,24.48956306570011,0.43020308,0.7315845,4.252623927120245e-05,0.08690272068843327,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9130972793115667
Endothelial,Astrocyte,FN1,C5AR1,1.6414859,0.0,2.6935372,0.09766094468565593,-21.044551108321606,0.078895725,0.73147064,0.0005446512160705049,0.08763548457005198,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.912364515429948
Microglia,Microglia,LGALS3,ENG,2.2919958,0.0,1.2052827,-0.08024893742949143,33.87835770195328,0.03519404,0.6456623,0.003119473485295533,0.08763548457005198,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.912364515429948
Oligodendrocyte,Microglia,APOE,LSR,5.120135,1.0,1.1682613,-0.346773704530426,-336.50463912368195,0.006415532,0.64208555,0.1927879211235555,0.08985074769072646,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9101492523092736
Oligodendrocyte,Pericyte,PSAP,GPR37L1,4.5472493,0.0,1.1572753,0.25112136086466924,-72.98579157553385,0.014859522,0.64099914,0.0035008522239999987,0.09059481959912113,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9094051804008789
Endothelial,Microglia,CCL4,CCR5,1.5991578,1.0,2.06551,0.23175159860336284,-inf,0.03552675,0.7046121,0.2598734146515519,0.09134169502723757,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9086583049727625
Astrocyte,Astrocyte,CCL4,CCR5,2.0513911,1.0,1.15161,-0.10113579212532998,-inf,0.019807678,0.6404343,0.5779338362322817,0.09209138326434835,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9079086167356516
Oligodendrocyte,Astrocyte,CCL4,CCR1,1.5865597,1.0,1.9186262,0.12773238241158258,-inf,0.03382256,0.6968778,0.2713113572192336,0.09209138326434835,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9079086167356516
