mirna,gene,support_type,source,score,confidence,confidence_level,download_date
hsa-miR-200a-3p,MAPK14,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200a-3p,YAP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200a-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200b-3p,BAP1,Functional MTI (Weak),miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200b-3p,E2F3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200b-3p,LOX,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200b-3p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200b-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200b-5p,KLF6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200c-3p,BAP1,Functional MTI (Weak),miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200c-3p,BRD7,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200c-3p,E2F3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200c-3p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200c-3p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200c-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-203a-3p,E2F1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-203a-3p,E2F3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-203a-3p,LIFR,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-204-5p,ATG3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-204-5p,TXNIP,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-205-5p,ACSL4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-205-5p,BCL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-205-5p,E2F1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-205-5p,HMGB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-205-5p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-20a-5p,E2F1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-20a-5p,E2F3,Non-Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-20a-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-20a-5p,RUNX3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
