compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Curcumin,RPD3-2,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,S-APP-ALPHA,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,S-APP-BETA,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,S-D-LACTOYLGLUTATHIONE METHYLGLYOXAL LYASE,CHEMBL2424,CHEMBL140,Ki,10000.0,nM,5.0,ChEMBL
Curcumin,S-MEPHENYTOIN 4-HYDROXYLASE,CHEMBL3397,CHEMBL140,IC50,4300.0,nM,5.37,ChEMBL
Curcumin,SALIVARY CARBONIC ANHYDRASE,CHEMBL3025,CHEMBL140,Ki,9940.0,nM,5.0,ChEMBL
Curcumin,SARCOPLASMIC/ENDOPLASMIC RETICULUM CALCIUM ATPASE 1,CHEMBL4693,CHEMBL140,Ki,5800.0,nM,5.24,ChEMBL
Curcumin,SARCOPLASMIC/ENDOPLASMIC RETICULUM CALCIUM ATPASE 2,CHEMBL3901,CHEMBL140,IC50,7000.0,nM,5.16,ChEMBL
Curcumin,SARCOPLASMIC/ENDOPLASMIC RETICULUM CALCIUM ATPASE 3,CHEMBL2401,CHEMBL140,Ki,8600.0,nM,5.07,ChEMBL
Curcumin,SARS-COV,CHEMBL4303836,CHEMBL140,EC50,10000.0,nM,,ChEMBL
Curcumin,SECRETED CARBONIC ANHYDRASE,CHEMBL3025,CHEMBL140,Ki,9940.0,nM,5.0,ChEMBL
Curcumin,SERCA1,CHEMBL4693,CHEMBL140,Ki,5800.0,nM,5.24,ChEMBL
Curcumin,SERCA2,CHEMBL3901,CHEMBL140,IC50,7000.0,nM,5.16,ChEMBL
Curcumin,SERCA3,CHEMBL2401,CHEMBL140,Ki,8600.0,nM,5.07,ChEMBL
Curcumin,SERINE/THREONINE-PROTEIN KINASE 13,CHEMBL3024,CHEMBL140,Potency,1683.4,nM,,ChEMBL
Curcumin,SERINE/THREONINE-PROTEIN KINASE GSK3B,CHEMBL3669,CHEMBL140,IC50,66.0,nM,7.18,ChEMBL
Curcumin,SERINE/THREONINE-PROTEIN KINASE PLK1,CHEMBL3024,CHEMBL140,Potency,1683.4,nM,,ChEMBL
Curcumin,SERINE/THREONINE-PROTEIN KINASE PSSALRE,CHEMBL1907600,CHEMBL140,IC50,10000.0,nM,,ChEMBL
Curcumin,SH-SY5Y,CHEMBL614910,CHEMBL140,EC50,5290.0,nM,5.28,ChEMBL
Curcumin,SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 26C MEMBER 1,CHEMBL4235,CHEMBL140,IC50,4501.0,nM,5.35,ChEMBL
Curcumin,SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 5C MEMBER 1,CHEMBL4159,CHEMBL140,Potency,3981.1,nM,5.4,ChEMBL
